date,donations
1/31/14,85232
2/28/14,105365
3/31/14,114177
4/30/14,98694
5/31/14,124269
6/30/14,108070
7/31/14,108225
8/31/14,107859
9/30/14,99885
10/31/14,143117
11/30/14,109179
12/31/14,245061
1/31/15,98781
2/28/15,112531
3/31/15,108484
4/30/15,115606
5/31/15,117087
6/30/15,115900
7/31/15,123916
8/31/15,117051
9/30/15,121098
10/31/15,111838
11/30/15,116936
12/31/15,220698
1/31/16,90306
2/29/16,111973
3/31/16,115125
4/30/16,159583
5/31/16,131345
6/30/16,107474
7/31/16,118523
8/31/16,119376
9/30/16,109728
10/31/16,123355
11/30/16,134946
12/31/16,281942
1/31/17,146859
2/28/17,137394
3/31/17,181239
4/30/17,181619
5/31/17,143733
6/30/17,144930
7/31/17,143286
8/31/17,159370
9/30/17,151198
10/31/17,152565
11/30/17,141807
12/31/17,295725
1/31/18,149298
2/28/18,152373
3/31/18,178641
4/30/18,175017
5/31/18,153308
6/30/18,180551
7/31/18,153608
8/31/18,174859
9/30/18,186815
10/31/18,179469
11/30/18,173620
12/31/18,342873
1/31/19,195499
2/28/19,167654
3/31/19,202550
4/30/19,199170
5/31/19,206527
6/30/19,184573
7/31/19,201555
8/31/19,215848
9/30/19,197068
10/31/19,208439
11/30/19,199735
12/31/19,521005
1/31/20,255743
2/29/20,218317
3/31/20,261375
4/30/20,241424
5/31/20,257839
6/30/20,301203
7/31/20,332809
8/31/20,253800
9/30/20,250091
10/31/20,271593
11/30/20,313734
12/31/20,868765
1/31/21,337801
